Year,Distance,Engine_capacity(cm3),km_year
2007,207000,3000,13800
1993,240000,2000,8275
2011,303322,1600,27574
2012,140000,2000,14000
2018,82000,1995,20500
2011,150000,1200,13636
2014,180000,1500,22500
2004,461025,1600,25612
2012,165538,1200,16553
2008,220057,1815,15718
2014,132800,1500,16600
2003,240000,2000,12631
2020,30000,1600,15000
2010,159039,1789,13253
2005,123456,1400,7262
2018,21000,2000,5250
1996,243518,1800,9366
2012,156321,1461,15632
2006,210000,1200,13125
2016,70000,1500,11666
2016,93000,1600,15500
2007,236000,3000,15733
2001,280000,1900,13333
2021,3500,2000,3500
2013,194650,1461,21627
2018,72000,1995,18000
2015,110029,1800,15718
2011,165878,2200,15079
2015,282000,1500,40285
2015,84000,1400,12000
2011,164000,1300,14909
2016,164000,1800,27333
1996,270000,1600,10384
2015,220000,1500,31428
2015,139898,1400,19985
2017,92000,1580,18400
2013,163000,1200,18111
2012,130000,1400,13000
2005,123456,2000,7262
2006,169874,1998,10617
2014,197000,2200,24625
2013,119000,1600,13222
2015,149000,2500,21285
2012,162000,1956,16200
2013,182000,2200,20222
2005,230000,2500,13529
2015,207000,1500,29571
2006,229000,1910,14312
2017,68500,1998,13700
2005,289645,1600,17037
2013,173000,1500,19222
2008,250000,1400,17857
2005,99999,2200,5882
2015,118000,2000,16857
2010,295000,2000,24583
2003,132000,1800,6947
2012,168000,2000,16800
2008,180000,4664,12857
2012,126000,998,12600
2017,182875,1496,36575
1996,187000,1900,7192
2011,142800,2400,12981
2015,125000,2000,17857
1999,50000,1300,2173
2017,160000,1600,32000
2014,191000,1800,23875
2007,300000,1899,20000
2007,270000,3500,18000
2004,300000,1400,16666
2007,120000,1400,8000
2008,198000,2000,14142
2012,140000,2499,14000
2008,347280,2200,24805
2012,185000,1400,18500
2010,160058,1800,13338
2016,89000,2000,14833
2014,146555,1500,18319
1994,248000,2000,8857
2010,230000,1500,19166
2005,220000,1300,12941
2005,261000,4400,15352
2009,110000,1100,8461
1986,315000,1600,8750
2018,101000,2000,25250
2011,185000,1800,16818
2012,197000,1500,19700
2017,63525,1373,12705
2007,160000,2400,10666
2016,77000,2000,12833
2020,9858,2959,4929
2009,189800,1800,14600
2012,230800,2200,23080
2013,114000,2500,12666
1996,230000,1900,8846
2018,25000,1800,6250
1995,140000,2000,5185
2012,148660,1400,14866
2011,180000,1400,16363
2012,199000,2000,19900
2014,212000,2000,26500
2008,78000,1500,5571
2005,20000,3000,1176
2016,77000,2490,12833
2012,122000,1400,12200
2019,41000,1460,13666
1994,310000,1600,11071
1971,240000,2400,4705
2007,282074,1461,18804
2001,21689,1451,1032
2013,99000,2500,11000
2003,395000,1898,20789
2016,86867,2000,14477
2012,225000,1500,22500
2010,187000,1000,15583
2002,379238,2500,18961
2012,190000,2200,19000
2012,209123,1800,20912
2014,123000,1800,15375
2010,22132,1600,1844
2007,158000,1500,10533
2009,113000,2200,8692
2017,203448,1500,40689
2012,127000,1300,12700
2016,211000,2000,35166
2004,239000,1500,13277
1996,398000,1984,15307
2003,159000,1800,8368
2011,205000,1300,18636
2005,335000,1800,19705
2005,272000,2993,16000
2011,123000,1200,11181
2009,207000,1400,15923
2006,161000,1400,10062
1994,254325,1600,9083
2018,52000,2000,13000
2000,125000,1200,5681
2015,148000,2000,21142
2007,230000,1700,15333
2010,160000,1400,13333
2015,155000,2000,22142
2017,164500,1500,32900
2014,168000,2000,21000
2016,123000,1466,20500
2006,250000,3000,15625
2013,165000,1560,18333
2004,145000,1200,8055
2015,207000,1400,29571
2004,240000,2200,13333
2017,168444,2500,33688
2002,251000,2499,12550
2014,153000,2000,19125
2002,122322,1400,6116
1980,70000,2500,1666
2000,288000,1400,13090
2012,239000,2200,23900
2014,245000,2000,30625
2013,170000,1200,18888
2018,45000,3000,11250
2002,221000,4300,11050
2018,46000,2199,11500
2021,7894,3000,7894
2012,150000,1500,15000
2013,165000,2143,18333
2012,190000,3000,19000
1995,383000,2600,14185
2014,219000,1500,27375
2015,143954,1339,20564
2011,240000,1499,21818
2012,158000,1400,15800
2006,150000,1600,9375
2011,232000,1400,21090
2008,190000,2450,13571
2012,157000,3000,15700
2011,170000,1800,15454
2014,80000,1398,10000
2006,89000,1600,5562
2013,81000,2500,9000
2006,245000,3500,15312
2012,237000,2200,23700
2010,177000,1500,14750
2013,86568,2000,9618
2017,141000,1995,28200
2017,112200,1461,22440
2009,147396,2000,11338
2013,101000,2500,11222
1993,50000,1300,1724
2001,189000,1400,9000
2002,320000,2400,16000
1998,402000,2500,16750
2008,191930,2000,13709
2010,190000,1300,15833
2020,8000,1000,4000
2010,160000,1500,13333
2012,120000,1984,12000
2013,243550,1798,27061
1993,240000,2200,8275
2020,46000,1500,23000
2005,132000,2400,7764
2015,199000,2000,28428
2002,169000,1395,8450
2006,129000,998,8062
2010,205109,1405,17092
2011,187000,1400,17000
2007,150000,2000,10000
1999,187600,4600,8156
1986,50000,1600,1388
2016,147842,2400,24640
2002,275000,1900,13750
2014,96000,1600,12000
2001,6000,1500,285
2017,120000,2400,24000
2013,41000,1700,4555
1999,210000,1400,9130
2012,200000,2400,20000
1997,356000,1997,14240
2008,69000,2400,4928
2017,125000,1500,25000
2011,130000,1400,11818
2017,120000,1500,24000
2009,345000,2000,26538
1993,290000,2000,10000
2014,178400,2000,22300
2004,220000,1395,12222
2007,103000,1400,6866
1991,80090,1400,2583
2015,198000,1600,28285
2006,127000,1500,7937
2016,151000,1500,25166
2015,137559,1400,19651
2006,265000,1400,16562
2000,265000,2500,12045
2008,134000,1000,9571
2004,258632,1500,14368
2017,123000,2000,24600
2007,400000,2200,26666
2012,182315,1500,18231
1994,4000,1600,142
2005,223000,2000,13117
1997,305000,1991,12200
2011,139000,1600,12636
2005,119119,1600,7007
2013,245008,1800,27223
2013,121235,3000,13470
2013,176000,2000,19555
2015,155000,1500,22142
2014,146021,1400,18252
2015,140000,2500,20000
2015,115000,2500,16428
2018,38531,1800,9632
2014,126000,1400,15750
2002,192000,2500,9600
2017,80194,1149,16038
2007,300000,1300,20000
2010,129000,1461,10750
1995,275000,2000,10185
2014,165000,1600,20625
2014,147890,3000,18486
2016,84000,890,14000
2010,140000,1500,11666
2007,325484,2400,21698
2010,206000,2000,17166
2010,190000,1800,15833
2015,115000,1200,16428
2021,12464,2000,12464
2014,155000,1400,19375
2011,185000,1500,16818
2005,250000,1400,14705
2016,179150,1500,29858
2006,189000,2500,11812
2015,230000,1600,32857
2001,198520,1900,9453
2009,199000,1600,15307
2013,38242,1600,4249
2005,185680,2500,10922
1997,470000,2500,18800
2007,270000,1500,18000
2004,320861,4398,17825
2009,179008,1400,13769
2007,240000,1986,16000
2000,290000,1600,13181
2006,89000,2000,5562
2003,157000,1100,8263
2002,299187,2000,14959
2005,318934,3000,18760
2015,186000,1400,26571
2008,116000,1500,8285
2012,143000,2500,14300
2010,169000,1800,14083
2002,100000,3000,5000
2014,53000,2499,6625
2010,225000,3000,18750
1992,290000,1800,9666
1992,378392,1800,12613
1990,59863,1900,1870
2018,93000,1998,23250
2018,171000,1500,42750
1985,247000,2800,6675
2008,150000,1600,10714
2016,163000,1500,27166
2007,240260,3300,16017
2007,22000,2000,1466
1999,343000,1800,14913
2007,298696,2200,19913
2014,217000,1995,27125
2009,240000,1200,18461
2014,70000,3000,8750
2008,118000,1500,8428
2012,240000,1400,24000
2014,96210,1600,12026
2013,189000,1600,21000
2004,204409,1400,11356
2013,104109,1300,11567
2012,176000,1461,17600
2009,200000,1800,15384
2011,165000,1248,15000
2010,187000,2000,15583
2015,47000,2000,6714
2010,157000,3000,13083
2000,317000,1600,14409
2009,240000,3000,18461
1993,180000,2000,6206
2011,174000,1500,15818
2006,261000,1300,16312
2018,33000,1800,8250
2009,41000,1250,3153
2013,151000,2200,16777
2014,168332,2199,21041
2003,273000,2200,14368
2017,75000,1600,15000
2006,85000,1500,5312
2013,210000,2000,23333
2018,31091,3000,7772
2007,190000,2500,12666
2002,96600,1998,4830
2009,224000,2000,17230
2011,119000,1800,10818
2011,216000,2200,19636
2010,212563,1400,17713
2018,158000,1500,39500
2016,166000,1400,27666
1996,320000,2000,12307
2013,127000,2000,14111
2018,55000,2000,13750
2015,130000,2000,18571
1994,400000,2200,14285
2014,82000,1800,10250
2013,190107,1600,21123
2011,161000,1800,14636
2015,96000,1200,13714
2019,32000,2000,10666
2013,180000,1500,20000
2004,123000,1400,6833
2006,161000,3500,10062
2017,106000,1685,21200
2009,180000,1300,13846
2005,280000,3000,16470
2005,173000,2000,10176
2015,90000,1400,12857
2014,179000,3000,22375
2012,123000,1500,12300
2005,240000,2200,14117
2011,150000,1800,13636
2000,401900,3000,18268
2017,171413,1500,34282
2013,190401,1461,21155
2004,130000,1300,7222
2013,206000,1500,22888
2017,156000,2200,31200
2012,229000,2200,22900
2011,182500,1200,16590
2008,222451,1500,15889
2017,147200,1500,29440
2005,111000,3300,6529
2011,248000,2000,22545
2007,10000,1600,666
2016,117800,2000,19633
2002,359000,1990,17950
2015,223032,1600,31861
2019,42000,1460,14000
2016,141759,1461,23626
2006,272000,2500,17000
1999,15000,1500,652
2016,42000,1998,7000
2015,156000,1500,22285
2008,90350,1500,6453
2009,140000,2000,10769
2014,200000,1500,25000
2007,195200,1998,13013
1986,100000,2000,2777
1993,299999,1600,10344
2004,200000,1800,11111
2008,180000,3000,12857
2013,103000,1500,11444
2016,147200,2200,24533
1998,200000,1600,8333
2011,206145,2000,18740
2012,189000,2000,18900
2000,213000,1900,9681
2016,185000,1500,30833
2016,120000,2234,20000
2018,26300,1600,6575
2006,160000,1300,10000
2014,152100,3000,19012
2017,133000,1500,26600
2005,256000,2500,15058
2015,64000,3000,9142
2001,199000,2700,9476
2004,226000,3000,12555
2018,8000,1500,2000
2015,90000,1364,12857
1995,330255,1596,12231
2017,217734,2000,43546
2011,187450,1498,17040
2010,294226,1400,24518
2017,173000,2000,34600
2012,256000,1986,25600
2016,12000,1400,2000
2011,236000,1499,21454
2005,300000,2000,17647
2014,195833,1600,24479
2009,145000,3200,11153
2008,11111,1111,793
2014,217000,1149,27125
1999,332571,2800,14459
2012,86000,2000,8600
1998,222015,1980,9250
2019,53000,2959,17666
2012,120000,2200,12000
1997,288000,1600,11520
2014,167000,2143,20875
2006,285000,3000,17812
2018,33000,1800,8250
2004,84000,1300,4666
1988,250000,5000,7352
2010,86000,1200,7166
2012,141000,2200,14100
2014,200000,1464,25000
2005,260000,1900,15294
2013,247000,1600,27444
2001,245000,1900,11666
2005,260000,2700,15294
1986,230000,2000,6388
2014,210000,1597,26250
2016,188000,1499,31333
2006,59000,1600,3687
2015,256500,2200,36642
2018,178000,1500,44500
2016,182000,2000,30333
2018,25000,2000,6250
2009,120000,2200,9230
2008,230000,1300,16428
2016,137290,1500,22881
2010,170000,1500,14166
2010,190000,1300,15833
2002,200000,2000,10000
2013,82000,2000,9111
2013,236000,2200,26222
1995,77000,1600,2851
2009,241000,2000,18538
2010,300000,3000,25000
2011,210000,1300,19090
2008,203900,1396,14564
2002,380000,1900,19000
2006,320000,2200,20000
2015,141000,1400,20142
2015,322542,2000,46077
2018,108900,1500,27225
2006,240000,1500,15000
2013,286914,1500,31879
2013,222000,2000,24666
2008,163000,1799,11642
2013,125000,2500,13888
2003,208367,2000,10966
2011,153000,3000,13909
2010,215000,2200,17916
1996,260000,1984,10000
2016,30000,1400,5000
2008,232000,1600,16571
2013,127000,1600,14111
2016,120000,1600,20000
2011,210000,1998,19090
1993,200000,2000,6896
2017,21000,1598,4200
2010,250000,2400,20833
2006,95000,1600,5937
2005,148000,1461,8705
2012,250000,1200,25000
2015,156000,1500,22285
2011,122000,1600,11090
2020,89776,1500,44888
2012,218000,2200,21800
2009,240000,1500,18461
2010,193259,2200,16104
2007,227000,1870,15133
2017,123000,2500,24600
2007,310000,1500,20666
2017,37000,1600,7400
2006,320000,1400,20000
2006,144000,1240,9000
2006,191000,2997,11937
2008,311000,1998,22214
2008,235000,2500,16785
2017,10899,2000,2179
2011,203000,2000,18454
2011,200000,1300,18181
2011,171000,1798,15545
2015,73000,1200,10428
2014,265000,2143,33125
2016,80000,2000,13333
2005,109666,1400,6450
1995,230646,1600,8542
2010,277208,1995,23100
1996,300000,1500,11538
1994,260000,2000,9285
2011,225050,2000,20459
2010,84931,1398,7077
2017,58148,2500,11629
2006,180000,1400,11250
2008,180000,1500,12857
2003,270000,3000,14210
2011,160735,1400,14612
2000,303000,2000,13772
1998,250453,1200,10435
2007,25488,1500,1699
2019,76000,2199,25333
2011,185200,1400,16836
2013,138000,2000,15333
2016,62000,2000,10333
2006,220000,2800,13750
2020,30000,1600,15000
2012,181767,2000,18176
2004,230000,1598,12777
2011,125000,1600,11363
2007,186088,1600,12405
2015,165000,2000,23571
2009,230000,1500,17692
2011,210000,2000,19090
2016,105000,2200,17500
1996,435000,2300,16730
2017,39800,1197,7960
2014,200200,2000,25025
1997,285000,2400,11400
1995,270000,1500,10000
2007,230000,2000,15333
2016,150425,1500,25070
2015,133000,2199,19000
2010,231601,1500,19300
2007,202000,1500,13466
2011,200000,1500,18181
2014,215000,2200,26875
2007,200000,1400,13333
2017,220000,2199,44000
2005,160000,2000,9411
2015,158000,1500,22571
2000,400000,1600,18181
2013,180000,1500,20000
2009,300000,1400,23076
1997,362752,2300,14510
2004,260000,2500,14444
2012,161700,1400,16170
2012,150000,1800,15000
2020,25000,2959,12500
2012,107000,1500,10700
1989,120000,1400,3636
2014,144000,1995,18000
2015,95500,1500,13642
2014,198000,2200,24750
2012,174000,1300,17400
2016,85000,2000,14166
2002,293000,2500,14650
2013,120000,1400,13333
2012,180000,1600,18000
2016,188419,1500,31403
2016,156000,1500,26000
1997,127000,1500,5080
2004,198653,1600,11036
2018,91600,2000,22900
2005,20000,2000,1176
2013,151000,2000,16777
2011,200000,2000,18181
2017,41000,2000,8200
2006,357415,1900,22338
2014,189820,2400,23727
2013,151000,1600,16777
2010,173000,2000,14416
2013,171150,1461,19016
2010,189000,2000,15750
2012,170000,2000,17000
2002,230000,1900,11500
2017,121000,1500,24200
2016,113000,1600,18833
2004,278000,1600,15444
2006,160000,3000,10000
2014,252000,2000,31500
2011,171638,1800,15603
2011,92700,1600,8427
2000,245000,1800,11136
2009,192000,1500,14769
2012,167000,2500,16700
2018,50000,2200,12500
2004,343150,3222,19063
2012,222695,2200,22269
2011,20000,1500,1818
2007,100000,4300,6666
2006,287091,1400,17943
2011,175000,1396,15909
2017,108000,1500,21600
1998,11111,2500,462
2010,195438,1500,16286
2000,380000,2200,17272
2009,210000,2000,16153
2006,199000,1900,12437
2006,260000,1500,16250
1997,250000,2500,10000
2016,183000,2199,30500
2008,200000,1400,14285
2014,180000,1400,22500
2002,250000,1800,12500
1996,250000,1400,9615
2000,312000,1800,14181
2015,129868,2000,18552
2011,214000,3000,19454
2013,99000,2200,11000
2017,145000,2000,29000
2018,125700,1600,31425
2004,216000,1242,12000
2006,190000,1200,11875
2006,120000,1500,7500
2008,250000,1300,17857
2015,197000,2000,28142
1995,306000,2800,11333
2016,95000,2200,15833
2013,162000,2000,18000
2003,205000,1800,10789
2014,121000,1300,15125
2017,45000,2200,9000
2004,280000,2000,15555
2016,80000,1600,13333
2010,216057,2000,18004
2011,215000,1500,19545
2017,45000,1600,9000
2010,204692,1690,17057
2014,123000,2000,15375
2005,330000,1400,19411
2009,166000,2200,12769
2012,130000,1600,13000
2014,120000,3000,15000
1996,300000,1400,11538
2011,146000,1500,13272
2014,180245,1461,22530
2000,214567,1900,9753
2014,180000,1500,22500
2020,30000,1600,15000
2007,300000,2000,20000
2017,17000,2000,3400
2009,174300,2000,13407
2013,221343,2000,24593
2017,160000,2000,32000
2011,181000,1390,16454
2015,120000,1598,17142
2010,125000,900,10416
2015,93300,1998,13328
1995,216000,2000,8000
2013,98000,1400,10888
2015,155000,1500,22142
2004,181000,1400,10055
2008,320000,2200,22857
2014,199000,1600,24875
2019,40000,1400,13333
2008,113507,3000,8107
2012,125800,2000,12580
2006,254151,3000,15884
1993,222222,3300,7662
2013,190000,2200,21111
2011,209000,1400,19000
2004,324000,2700,18000
2000,209568,2500,9525
2004,105000,1800,5833
1996,240000,1998,9230
2008,180624,2000,12901
2014,122000,2000,15250
2005,190000,1600,11176
2016,180880,1500,30146
2008,218000,1300,15571
2003,140000,1600,7368
2018,64000,1599,16000
2015,225000,2000,32142
2015,148000,1995,21142
2016,40000,1500,6666
2014,102000,1200,12750
2018,51603,1149,12900
2010,145000,1400,12083
2015,180000,1400,25714
2003,182553,900,9608
2015,89000,1600,12714
2008,250000,1461,17857
2010,247000,2200,20583
1991,200000,2000,6451
2016,21200,4100,3533
1990,10000,1000,312
2009,293000,3000,22538
2008,210021,1500,15001
2017,118000,1500,23600
1991,358446,2000,11562
2002,270123,1800,13506
2018,60000,2000,15000
2004,280000,1500,15555
1993,200000,2400,6896
2006,235000,1600,14687
2008,156321,1500,11165
2003,278988,1900,14683
2008,193500,1500,13821
2016,141792,1969,23632
2018,21387,2000,5346
1997,202000,1100,8080
2004,315000,3000,17500
2015,74756,2000,10679
2013,104000,2199,11555
2014,173000,2000,21625
2003,250000,2000,13157
1994,340000,1800,12142
2004,120000,2500,6666
2011,161300,1400,14663
2010,232000,1200,19333
2005,260000,1900,15294
2001,320000,3222,15238
2020,18000,2000,9000
2015,140000,1500,20000
2004,205000,1600,11388
2012,53000,1600,5300
2002,377735,2500,18886
2015,171000,1500,24428
1998,250000,1400,10416
2013,195000,1461,21666
2014,137000,1000,17125
2017,98700,1500,19740
1999,343150,4200,14919
2009,201000,2000,15461
2004,189000,1400,10500
1994,350000,1800,12500
2004,36500,3200,2027
2008,87000,1700,6214
2009,115000,1600,8846
2017,217000,1500,43400
2001,220000,1900,10476
2010,210000,1900,17500
2016,28643,2000,4773
2014,202000,2000,25250
2015,175000,1800,25000
2020,14223,3000,7111
2007,89000,2000,5933
2012,169358,1400,16935
2011,250000,1500,22727
2013,290000,1800,32222
2009,293088,1400,22545
2015,108000,2500,15428
2012,212000,2200,21200
2017,80305,1396,16061
2006,206950,2500,12934
2013,162000,1000,18000
2000,194000,2000,8818
2013,174000,2000,19333
2019,17000,1200,5666
2015,140000,2000,20000
2006,164000,1800,10250
2013,80000,2500,8888
2012,148000,1500,14800
2009,204000,1300,15692
2013,160000,3000,17777
2013,180000,1500,20000
2013,82000,2000,9111
2020,9407,2499,4703
1997,366000,2000,14640
2014,177000,3500,22125
2014,80000,2000,10000
1989,180000,1800,5454
2017,57000,1800,11400
2006,150000,1600,9375
2008,250000,3000,17857
2016,150000,3000,25000
1990,300000,1920,9375
2000,250000,2500,11363
2004,294000,2600,16333
2018,105000,2000,26250
2012,124000,1600,12400
2011,200227,1200,18202
2016,74000,2000,12333
2007,186545,2400,12436
2016,68000,2200,11333
2001,113383,1800,5399
2004,295188,1493,16399
2016,176000,2000,29333
2007,128000,1400,8533
2012,123000,1900,12300
2018,33000,1800,8250
2006,280000,2700,17500
2009,192000,1800,14769
2010,150000,2000,12500
1994,220000,1600,7857
2007,200000,1400,13333
2005,306221,3000,18013
2009,175000,3500,13461
2013,209325,1500,23258
2007,215000,1497,14333
2005,254500,1900,14970
2008,260000,1600,18571
2011,197397,1600,17945
2018,13000,1798,3250
1995,157000,1600,5814
2016,158000,1500,26333
2005,188000,1000,11058
1997,111111,2800,4444
2016,156200,2400,26033
2017,69765,2200,13953
2017,135000,2000,27000
2004,214567,1300,11920
2015,92000,2000,13142
2006,123500,1400,7718
2004,252000,1300,14000
2011,209000,1199,19000
2013,189000,1800,21000
2007,240000,1600,16000
2013,100000,2000,11111
2015,76000,2500,10857
2006,189000,1500,11812
2017,155000,1800,31000
2000,259000,2500,11772
2006,30000,1400,1875
2009,165000,2995,12692
2017,102000,2000,20400
2006,250000,1600,15625
2005,324000,2998,19058
2008,235000,2200,16785
2016,12351,2000,2058
2012,192000,2000,19200
2012,156000,1400,15600
1993,97107,1800,3348
2013,193382,1800,21486
2014,90000,1500,11250
2013,165000,1400,18333
2015,200000,2000,28571
2005,125000,2400,7352
2017,65000,1800,13000
2009,243000,2000,18692
2007,172000,2000,11466
2017,161000,900,32200
2002,196000,1800,9800
2015,141687,1598,20241
2013,188400,2000,20933
2003,230000,1989,12105
2001,247000,3000,11761
2007,260000,1600,17333
2013,172800,1400,19200
2008,160000,1400,11428
2017,6750,2900,1350
2008,106000,1800,7571
2005,182000,2400,10705
2011,181000,1200,16454
2013,270000,1600,30000
2020,3000,3000,1500
2013,302179,2400,33575
2011,190000,1240,17272
2014,149000,2199,18625
2016,82952,2500,13825
2003,228000,2000,12000
2016,166000,1500,27666
2012,210000,1500,21000
2014,160000,2200,20000
2013,50000,1600,5555
2012,145000,1400,14500
2016,66000,2400,11000
1998,150000,2200,6250
2016,60000,1798,10000
2018,100785,3500,25196
2016,163000,1800,27166
2009,229000,1400,17615
1997,100000,2500,4000
2002,196000,4200,9800
2010,280000,1800,23333
2016,170000,1499,28333
2015,219289,2143,31327
2015,62000,2000,8857
2007,185000,1400,12333
1992,300000,2300,10000
1995,250000,2000,9259
2018,33000,1800,8250
2016,72569,1329,12094
2017,157000,1998,31400
2012,103000,1400,10300
2020,55389,1600,27694
2005,245622,1400,14448
2008,104281,799,7448
2004,168346,1500,9352
2014,130000,2200,16250
2005,165000,1400,9705
2012,168454,1400,16845
2005,154000,1360,9058
2005,119119,1400,7007
1991,312321,2000,10074
2012,216800,1500,21680
2006,1800,1500,112
2001,218000,2200,10380
2001,174300,1600,8300
1993,291112,1600,10038
2009,22000,2000,1692
2014,215000,1500,26875
2018,90000,1500,22500
2015,88000,2000,12571
2003,335000,1700,17631
2017,89000,1600,17800
2008,213456,1600,15246
2006,203000,2499,12687
2014,200000,1390,25000
2006,164000,1300,10250
2018,27907,2000,6976
2017,109000,1490,21800
2001,400000,1900,19047
2003,32008,2700,1684
2009,400000,1390,30769
2001,240000,1400,11428
2004,200000,1500,11111
2006,280000,1500,17500
2009,249100,3000,19161
2001,470000,2148,22380
2014,45000,2000,5625
2010,195000,1500,16250
2010,180000,2000,15000
2009,190000,1300,14615
2004,223000,2000,12388
2001,290000,2496,13809
2008,230000,1500,16428
2006,123000,2000,7687
2013,172138,2200,19126
2017,91000,2000,18200
2005,225000,1900,13235
2006,236000,2500,14750
2009,151000,1364,11615
2010,308000,2000,25666
2013,185013,2000,20557
1996,350653,1600,13486
2017,42247,2300,8449
2003,230000,1800,12105
2016,129000,2000,21500
2014,40000,2000,5000
2017,99999,2000,19999
2014,209172,2000,26146
2010,14200,1369,1183
2014,67000,1000,8375
2015,168400,2000,24057
2006,264000,2000,16500
2012,125000,1800,12500
1994,222222,2500,7936
2008,170000,1598,12142
2011,111270,1800,10115
2002,222000,1590,11100
2007,268000,1986,17866
2009,205844,1339,15834
1996,465200,1991,17892
2006,350000,1800,21875
2006,235000,2200,14687
2011,72000,1400,6545
2008,250000,1500,17857
2002,370000,1900,18500
2001,344100,3000,16385
2010,121750,1599,10145
2006,215604,1500,13475
2004,320000,1900,17777
2008,350573,1998,25040
2018,88000,2199,22000
1993,113541,1800,3915
2011,161000,1390,14636
2017,176000,1500,35200
2009,194001,2000,14923
2011,186000,1200,16909
2013,152000,1700,16888
2010,240000,1500,20000
2012,92000,2000,9200
2017,20000,2000,4000
2017,143143,1500,28628
2010,170000,1700,14166
2011,186000,1300,16909
2018,39000,1500,9750
2008,258857,2400,18489
2005,250000,2500,14705
2010,242000,1400,20166
2014,197800,1200,24725
2007,280000,2200,18666
2016,143000,2143,23833
2013,100000,1800,11111
1999,170000,2395,7391
2010,177000,1400,14750
2003,226000,2200,11894
2012,130934,1968,13093
2011,125000,1400,11363
2013,220000,1600,24444
2015,216000,2200,30857
2013,222000,2000,24666
2007,205000,1800,13666
1992,18200,1600,606
1999,180000,1800,7826
2012,153400,3000,15340
2014,160000,1200,20000
2010,220000,1400,18333
2009,279949,2000,21534
2004,315000,3000,17500
2009,170000,1400,13076
1995,220000,1800,8148
2012,109000,1000,10900
2015,108000,2000,15428
2016,150000,1968,25000
2016,162000,1400,27000
2006,300000,2000,18750
2016,161000,2500,26833
2015,56892,2500,8127
2017,145000,1500,29000
2012,220000,1398,22000
2005,123432,3000,7260
2008,320000,2500,22857
2012,100800,1396,10080
1997,111111,1998,4444
2014,56000,1400,7000
2003,146809,1800,7726
2002,266233,1400,13311
2005,190533,2000,11207
2005,240000,3000,14117
2013,173321,1461,19257
2017,145000,2000,29000
2014,122245,2500,15280
2004,366000,1800,20333
2009,125000,1400,9615
1988,370000,1596,10882
2008,199000,1460,14214
2005,250000,1400,14705
2014,220000,1580,27500
2004,350000,2000,19444
2003,235000,2400,12368
1989,45000,2300,1363
2016,123000,2200,20500
2008,190000,1400,13571
2009,300000,3000,23076
2019,29000,1968,9666
2016,12000,1600,2000
2005,189300,1400,11135
2017,41640,1000,8328
2009,200000,1400,15384
2012,154000,1399,15400
1997,111111,1800,4444
2014,168335,1598,21041
2011,116000,2000,10545
2002,360000,2926,18000
2006,190000,2200,11875
2009,104000,1360,8000
2016,230000,1400,38333
1996,228000,1400,8769
2006,123000,2000,7687
2010,125000,1600,10416
2000,316000,2500,14363
2005,141000,2700,8294
2009,250000,1500,19230
2016,150330,1999,25055
2017,45000,1600,9000
2012,132000,1400,13200
2006,35000,4800,2187
2018,118256,1500,29564
2001,236855,2000,11278
2006,301500,1461,18843
2009,156661,1800,12050
2005,102355,1500,6020
2012,176000,1500,17600
2011,178520,1461,16229
2014,133500,1400,16687
2011,220000,2000,20000
2013,160000,2200,17777
2014,169003,1500,21125
2020,30000,1600,15000
1998,91000,1600,3791
2005,186487,1500,10969
2015,168350,2000,24050
2018,1111,1111,277
2011,196000,1600,17818
2004,300123,1800,16673
2011,156809,1400,14255
2017,75000,1200,15000
1998,350000,3500,14583
2004,160000,2489,8888
2008,194300,1500,13878
1999,222222,2000,9661
2001,217000,2900,10333
2011,170000,1500,15454
2018,111000,2000,27750
2019,54000,1995,18000
2015,160000,2000,22857
2016,183894,2000,30649
2011,129000,1800,11727
2017,67300,2000,13460
2010,177000,1461,14750
2006,69143,1900,4321
2000,317000,1600,14409
2012,161000,1500,16100
2012,194000,1800,19400
1992,258852,2300,8628
2008,228000,1400,16285
2007,278000,1900,18533
2011,155000,1200,14090
1987,243000,2300,6942
2012,229937,1600,22993
1997,280000,1800,11200
2009,202200,1400,15553
2010,140000,2400,11666
2011,193000,2000,17545
2005,310000,2200,18235
2005,241000,2500,14176
2009,227685,3500,17514
2006,207000,1400,12937
1995,270000,1995,10000
1994,382140,2000,13647
1993,270652,1800,9332
2018,32000,2000,8000
2013,172690,2000,19187
2019,44000,1460,14666
2007,335166,2000,22344
2017,214000,2000,42800
2010,115000,1500,9583
2017,194067,1500,38813
2010,203789,2967,16982
2018,174768,1582,43692
2005,222111,1400,13065
2017,45000,1600,9000
1994,11111,1999,396
2007,236746,1500,15783
2015,89000,1991,12714
1993,200000,1700,6896
2018,40100,2000,10025
1997,190533,1800,7621
2010,207000,1500,17250
2012,120000,2300,12000
2012,100000,2000,10000
2016,158807,1699,26467
2013,175200,1500,19466
2016,147447,1800,24574
2005,260000,2400,15294
1992,1000000,1800,33333
1993,285000,2600,9827
2004,219740,1800,12207
2015,190000,2000,27142
2010,145000,1789,12083
2009,170000,1388,13076
2017,37000,1600,7400
2006,691436,1900,43214
2013,250000,2500,27777
2006,204300,1800,12768
1993,33300,1800,1148
2019,37000,2000,12333
2017,52800,2000,10560
2017,139182,1500,27836
2017,98844,2000,19768
2015,51000,2000,7285
2015,120000,2000,17142
2002,302441,2200,15122
2011,270000,1600,24545
2012,125076,3000,12507
2010,222000,1600,18500
2002,256000,1600,12800
1994,300000,2000,10714
2017,129000,1500,25800
1995,320000,1998,11851
